algorithm,level,qps,total_req,p50_us,p90_us,p95_us,p99_us,errors
prequal,103pct,725.8351,44752,555800,1003500,1124700,1475500,0
prequal,114pct,801.9497,49224,579100,1052400,1165300,1934700,0
prequal,127pct,867.9092,53272,656700,1413100,1788100,2615400,0
prequal,141pct,904.1942,55444,694100,1677100,2071700,3080500,0
prequal,157pct,923.2062,56526,731600,1819200,2273300,3342200,0
prequal,174pct,946.4484,58077,736700,1876700,2307400,3384400,0
prequal,75pct,529.9787,32834,563700,985100,1077900,1299600,0
prequal,83pct,584.8441,36000,557400,1002900,1106800,1338100,0
prequal,93pct,654.5892,40314,561400,1015200,1121700,1372000,0
rr,103pct,722.2215,44510,511700,1061000,1281100,2315100,0
rr,114pct,778.1599,48161,544300,1236900,1764900,2858100,0
rr,127pct,838.5097,51673,498900,1470800,2058600,3420300,0
rr,141pct,866.0375,53859,530000,1708800,2430800,4103300,0
rr,157pct,911.1438,56286,558500,1827500,2528500,4270100,0
rr,174pct,928.1519,57980,598500,1937000,2607900,4110700,0
rr,75pct,529.5902,32873,543100,980600,1098500,1348600,0
rr,83pct,583.4416,36000,547700,1005900,1155100,1417100,0
rr,93pct,654.6006,40367,517500,1015500,1212500,1494600,0
